des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2020 AB2,5,2460627.663451279,2024-Nov-13 03:55,0.0482795329815592,0.0383241646061074,0.0668262140237424,7.1981869667793,7.19051586669896,4_23:53,27.0
2024 VO2,2,2460628.132335458,2024-Nov-13 15:11,0.0293891569657781,0.0289960407098088,0.0297822333908498,6.8665963540825,6.85338029864452,00:18,27.016
2024 VX3,1,2460628.321927637,2024-Nov-13 19:44,0.000991300283580601,0.000990046690201042,0.000992553656642397,6.97462016644139,6.57796324848519,< 00:01,28.238
2024 VV1,2,2460628.750550691,2024-Nov-14 06:01,0.0486156158790857,0.0483995712603034,0.0488316552469202,6.04180861786663,6.03273049622205,00:07,26.905
2024 UA10,5,2460629.007799723,2024-Nov-14 12:11,0.0489071219918762,0.0483856458517831,0.0494285932833097,15.4732311526639,15.4697098070135,< 00:01,25.263
2019 VU5,10,2460629.383306183,2024-Nov-14 21:12,0.0307004129357129,0.00665457047925214,0.223047078037507,23.3149298582214,23.3112070668317,9_20:56,24.43
2019 VL5,9,2460629.487969258,2024-Nov-14 23:43,0.0246075289175675,0.0246072339061827,0.0246078239289846,8.48695175875668,8.47418386025434,< 00:01,25.87
2024 VK3,1,2460630.591581570,2024-Nov-16 02:12,0.00293324594089089,0.00292114408158957,0.00294534684786576,11.1304749600816,11.0485622708633,00:13,27.466
2024 VS3,1,2460630.855933127,2024-Nov-16 08:33,0.0108856704220044,0.0108482678705025,0.0109230721857898,13.1128890804596,13.0942094521809,00:21,26.091
2024 VZ2,2,2460631.559408854,2024-Nov-17 01:26,0.00849587465099195,0.00846127783764381,0.00853047185773134,10.2084358881181,10.1776678342817,00:24,26.063
2024 UC5,4,2460632.407464921,2024-Nov-17 21:47,0.0277732011717847,0.0276978759481215,0.027848521983684,4.23723320107923,4.21453094367827,< 00:01,26.352
2024 VT3,1,2460632.752423794,2024-Nov-18 06:03,0.0323547754527792,0.0322416106084066,0.0324679407648143,12.3173233589372,12.3106356780822,00:12,24.718
2023 WK3,5,2460633.070085820,2024-Nov-18 13:41,0.0411981838901975,0.0411964669890301,0.0411999008133384,14.4768217417812,14.4723535882853,< 00:01,20.58
2024 UZ10,6,2460633.414796982,2024-Nov-18 21:57,0.029618043528374,0.0294742504264356,0.0297618352532175,13.1684146083315,13.1615812342686,00:02,24.393
2024 VU2,1,2460634.459535628,2024-Nov-19 23:02,0.0386905739130229,0.0383628934773589,0.0390182444217389,8.66825223967351,8.66030392957994,00:08,24.682
2012 KO11,8,2460634.602199017,2024-Nov-20 02:27,0.0157512670701351,0.0155629130034196,0.150508615450932,9.42539555147428,9.40743120817541,3_18:47,24.6
2024 UW9,4,2460634.942908844,2024-Nov-20 10:38,0.0346159853231573,0.0343799342676829,0.0348520342771475,14.8192889015527,14.8140939150567,00:05,24.481
2020 VX4,7,2460635.357127727,2024-Nov-20 20:34,0.0269763942170535,0.00540438210426156,0.0487194850437104,10.4784101557579,10.4689797900356,1_12:54,27.5
2010 WC,9,2460635.559943980,2024-Nov-21 01:26,0.00493814546012998,0.00493715465742361,0.00493913732920708,9.10899360738194,9.04956478740504,< 00:01,25.3
